Program Name/Major,Academic Division/School,Degree Level,Graduation Date,Job Title,Employing Organization,Position Location - State
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2023,Legal Coordinator,Optum,GA
Economics,College of Arts and Sciences,Bachelor's,5/15/2021,City Planner,St. Paul Public Schools,NY
Environmental Science,College of Arts and Sciences,Bachelor's,5/15/2024,Data Scientist,Deloitte,IA
Biology,College of Arts and Sciences,Bachelor's,5/15/2025,Brand Manager,Peace Corps,MN
Environmental Science,College of Arts and Sciences,Bachelor's,5/15/2025,Account Manager,Medtronic,WI
Civil Engineering,School of Engineering,Bachelor's,5/15/2020,Community Outreach Specialist,Optum,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Underwriter,Boston Consulting Group,IL
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2024,Associate,Peace Corps,MN
Accounting,Opus College of Business,Bachelor's,5/15/2021,City Planner,Fastenal,WA
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2021,Sales Representative,Wells Fargo,WA
Social Work,School of Education,Bachelor's,5/15/2024,Inspector,US Army,WI
Psychology,College of Arts and Sciences,Bachelor's,5/15/2019,Data Scientist,KPMG,MN
Human Resources Management,Opus College of Business,Bachelor's,5/15/2025,Quantitative Analyst,KPMG,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Legislative Aide,Best Buy,ND
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2022,Paralegal,Boston Consulting Group,NY
Social Work,School of Education,Bachelor's,5/15/2019,Health Coach,Peace Corps,MN
Software Engineering,School of Engineering,Bachelor's,5/15/2022,Receptionist,General Mills,NY
COJO Strategic Communications,College of Arts and Sciences,Bachelor's,5/15/2022,Program Manager,Best Buy,MN
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2019,Web Developer,Mortenson,MA
Middle/Secondary Education,School of Education,Bachelor's,5/15/2022,Systems Administrator,US Army,GA
Social Work,School of Education,Bachelor's,5/15/2019,Associate,Hennepin County,MN
Software Engineering,School of Engineering,Bachelor's,5/15/2024,Civil Engineer,Cargill,MN
Accounting,Opus College of Business,Bachelor's,5/15/2021,Contract Specialist,Microsoft,FL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2025,Mechanical Engineer,Kraus-Anderson,IL
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Auditor,Cargill,NY
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Project Engineer,Medtronic,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Coordinator,Kraus-Anderson,WI
Human Resources Management,Opus College of Business,Bachelor's,5/15/2020,Analytics Consultant,Ameriprise Financial,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Public Administrator,Abbott Laboratories,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Social Worker,KPMG,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Civil Engineer,Wells Fargo,IL
Civil Engineering,School of Engineering,Bachelor's,5/15/2019,Web Developer,Wayzata Public Schools,MN
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2020,Public Administrator,Allina Health,MN
English,College of Arts and Sciences,Bachelor's,5/15/2020,Legal Assistant,Deloitte,FL
Psychology,College of Arts and Sciences,Bachelor's,5/15/2025,Coordinator,Kraus-Anderson,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2019,PR Specialist,Land O'Lakes,IL
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2021,Clinical Research Coordinator,University of St. Thomas,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Brand Manager,Toro Company,GA
Computer Science,School of Engineering,Bachelor's,5/15/2022,Quantitative Analyst,Google,CA
Accounting,Opus College of Business,Bachelor's,5/15/2021,Account Manager,Peace Corps,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Inside Sales Rep,Grant Thornton,MN
Software Engineering,School of Engineering,Bachelor's,5/15/2021,Case Manager,Accenture,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Strategy Analyst,EY,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Software Engineer,Grant Thornton,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Appraiser,State of Minnesota,MA
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2025,Operations Analyst,CBRE Group,IL
Data Science,School of Engineering,Bachelor's,5/15/2023,Business Intelligence Analyst,Microsoft,IA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2019,Underwriter,Osseo Area Schools,CO
Chemistry,College of Arts and Sciences,Bachelor's,5/15/2021,Assistant,KPMG,IA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2025,Multimedia Specialist,Deloitte,MN
Civil Engineering,School of Engineering,Bachelor's,5/15/2024,Accountant,Children's Minnesota,FL
Data Analytics,School of Engineering,Bachelor's,5/15/2021,Data Scientist,McGough Construction,MA
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2025,Legal Assistant,City of Minneapolis,OH
Software Engineering,School of Engineering,Bachelor's,5/15/2019,Business Intelligence Analyst,McGough Construction,IL
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,Accountant,Optum,ND
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2025,Health Coach,Securian Financial,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Project Engineer,Cargill,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,DevOps Engineer,Microsoft,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Account Executive,Accenture,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Auditor,Ameriprise Financial,CO
Civil Engineering,School of Engineering,Bachelor's,5/15/2021,Software Engineer,Optum,MA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2020,Scientist,Ameriprise Financial,MA
Political Science,College of Arts and Sciences,Bachelor's,5/15/2024,Strategy Analyst,Allina Health,MN
Elementary Education (K-6),School of Education,Bachelor's,5/15/2022,Tutor,Minneapolis Public Schools,OH
Computer Science,School of Engineering,Bachelor's,5/15/2021,Specialist,AmeriCorps,WI
Manufacturing Engineering,School of Engineering,Bachelor's,5/15/2024,Leasing Agent,AWS,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Advisory Associate,Xcel Energy,SD
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2022,Auditor,McGough Construction,FL
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2024,Project Engineer,McGough Construction,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Research Scientist,McGough Construction,MA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Business Development Associate,Securian Financial,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Underwriter,Medtronic,IL
Computer Engineering,School of Engineering,Bachelor's,5/15/2021,Case Manager,Toro Company,TX
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Policy Analyst,3M,MA
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,Data Scientist,Abbott Laboratories,MN
Software Engineering,School of Engineering,Bachelor's,5/15/2020,Data Scientist,Accenture,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Business Development Associate,Mortenson,CA
Political Science,College of Arts and Sciences,Bachelor's,5/15/2021,Tutor,KPMG,CO
Computer Science,School of Engineering,Bachelor's,5/15/2024,Data Scientist,EY,CA
Software Engineering,School of Engineering,Bachelor's,5/15/2021,Office Coordinator,Deloitte,OH
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2022,Real Estate Analyst,Abbott Laboratories,CA
Software Engineering,School of Engineering,Bachelor's,5/15/2019,Project Engineer,General Mills,MN
Social Work,School of Education,Bachelor's,5/15/2023,Teaching Assistant,University of St. Thomas,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Medical Assistant,KPMG,ND
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Inspector,Cargill,FL
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2022,Systems Administrator,Accenture,MA
Strategic Comm: Ad and PR,College of Arts and Sciences,Bachelor's,5/15/2022,Social Media Manager,Accenture,CA
Civil Engineering,School of Engineering,Bachelor's,5/15/2021,Web Developer,3M,MN
Data Analytics,School of Engineering,Bachelor's,5/15/2024,Specialist,KPMG,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2019,Appraiser,Wells Fargo,OH
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2023,Clinical Research Coordinator,Medtronic,MN
Journalism,College of Arts and Sciences,Bachelor's,5/15/2019,Office Coordinator,Sleep Number,IL
Social Work,School of Education,Bachelor's,5/15/2025,Tutor,Osseo Area Schools,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2019,PR Specialist,EY,MN
Data Science,School of Engineering,Bachelor's,5/15/2021,Systems Administrator,Optum,OH
Civil Engineering,School of Engineering,Bachelor's,5/15/2025,Leasing Agent,Mayo Clinic,NY
Economics - Business,Opus College of Business,Bachelor's,5/15/2023,Site Supervisor,Toro Company,MA
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2025,Research Scientist,Ameriprise Financial,TX
Political Science,College of Arts and Sciences,Bachelor's,5/15/2025,Public Administrator,UnitedHealth Group,MN
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2019,Physical Therapist,Medtronic,WA
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Content Strategist,Kraus-Anderson,CA
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2019,Team Lead,Children's Minnesota,IA
Political Science,College of Arts and Sciences,Bachelor's,5/15/2020,Data Analyst,Deloitte,WI
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2019,Clinical Research Coordinator,Intel,TX
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Logistics Manager,Mayo Clinic,WI
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Site Supervisor,CBRE Group,MA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2025,Program Manager,McKinsey,MN
Economics - Business,Opus College of Business,Bachelor's,5/15/2020,Marketing Coordinator,Accenture,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Supply Chain Coordinator,Deloitte,CA
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2021,Physical Therapist,Abbott Laboratories,NE
Data Science,School of Engineering,Bachelor's,5/15/2020,Analytics Consultant,PwC,MA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2021,Assistant Manager,IBM,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2019,Office Manager,Microsoft,MN
Public Health,College of Arts and Sciences,Bachelor's,5/15/2019,Multimedia Specialist,Abbott Laboratories,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2019,Policy Analyst,Wayzata Public Schools,NY
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Financial Analyst,Kraus-Anderson,SD
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Design Engineer,KPMG,GA
Operations Management,Opus College of Business,Bachelor's,5/15/2023,Auditor,Fastenal,MA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Research Assistant,Grant Thornton,WA
Elementary Education (K-6),School of Education,Bachelor's,5/15/2021,Community Outreach Specialist,Abbott Laboratories,SD
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Program Manager,Target,CA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2021,Office Manager,Optum,IL
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2021,Policy Analyst,RBC Wealth Management,FL
Software Engineering,School of Engineering,Bachelor's,5/15/2019,Physical Therapist,3M,CO
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2025,Program Coordinator,Allianz,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2023,Auditor,Peace Corps,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Program Manager,Mortenson,WI
Computer Engineering,School of Engineering,Bachelor's,5/15/2024,Lab Technician,UnitedHealth Group,MA
Data Analytics,School of Engineering,Bachelor's,5/15/2019,Web Developer,3M,TX
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Data Scientist,RBC Wealth Management,WA
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Financial Analyst,KPMG,NE
Software Engineering,School of Engineering,Bachelor's,5/15/2019,Auditor,Accenture,MN
Computer Science,School of Engineering,Bachelor's,5/15/2021,Operations Director,Ryan Companies,OH
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2024,Accountant,Fastenal,IA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2019,Tax Associate,Deloitte,SD
English,College of Arts and Sciences,Bachelor's,5/15/2020,Operations Director,US Army,TX
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Business Development Associate,UnitedHealth Group,IA
Computer Science,School of Engineering,Bachelor's,5/15/2024,Clinical Research Coordinator,Honeywell,MA
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2019,Scientist,Honeywell,IA
COJO Journalism,College of Arts and Sciences,Bachelor's,5/15/2019,Paralegal,McKinsey,MA
Strategic Comm: Ad and PR,College of Arts and Sciences,Bachelor's,5/15/2020,PR Specialist,Google,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2023,Construction Manager,Mortenson,MN
Accounting,Opus College of Business,Bachelor's,5/15/2025,Estimator,Fastenal,NE
Acad Behavioral Strategist,School of Education,Bachelor's,5/15/2020,Grant Writer,Children's Minnesota,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2021,Case Manager,Accenture,NE
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2024,Analyst,Deloitte,CA
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Legal Assistant,NextEra Energy,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Accountant,PwC,ND
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2022,Marketing Coordinator,Fastenal,CO
Marketing Management,Opus College of Business,Bachelor's,5/15/2025,Sales Representative,Minneapolis Public Schools,MN
Data Science,School of Engineering,Bachelor's,5/15/2021,Operations Analyst,Toro Company,MN
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2024,Medical Assistant,Allina Health,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Logistics Manager,RBC Wealth Management,NE
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2020,Business Development Associate,Deloitte,NY
Educational Studies,School of Education,Bachelor's,5/15/2022,Procurement Specialist,KPMG,IA
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Procurement Specialist,CenterPoint Energy,MN
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2021,UX Designer,Sleep Number,IA
Accounting,Opus College of Business,Bachelor's,5/15/2021,Underwriter,PwC,MN
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2019,City Planner,3M,GA
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2022,Lab Technician,State of Minnesota,ND
Chemistry,College of Arts and Sciences,Bachelor's,5/15/2019,Tutor,PwC,TX
Computer Science,School of Engineering,Bachelor's,5/15/2023,Graphic Designer,Best Buy,MN
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2024,Business Development Associate,Deloitte,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Marketing Coordinator,Best Buy,WA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2025,Medical Assistant,McGough Construction,MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2025,Registered Nurse,Medtronic,CA
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2025,Clinical Research Coordinator,Boston Consulting Group,SD
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2024,Physical Therapist,Abbott Laboratories,MN
Accounting,Opus College of Business,Bachelor's,5/15/2022,Health Coach,Land O'Lakes,CO
English,College of Arts and Sciences,Bachelor's,5/15/2021,Grant Writer,EY,CO
Data Science,School of Engineering,Bachelor's,5/15/2023,Field Engineer,Xcel Energy,ND
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Financial Analyst,McGough Construction,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Business Analyst,Allianz,MN
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2024,City Planner,Allianz,IA
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Office Coordinator,Donaldson Company,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2019,Medical Assistant,Google,MN
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2022,Leasing Agent,Minneapolis Public Schools,OH
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Policy Analyst,KPMG,GA
Elementary Education (K-6),School of Education,Bachelor's,5/15/2022,Contract Specialist,CBRE Group,TX
